Порт «Сфера»
Узел «Омега»
Форпост «Вега»
Колония «Икар»
Станция «Горизонт»
Купол «Гелиос»
Лабиринт «Хронос»
Обитель «Эос»
Цитадель «Арес»
Убежище «Кронос»
Гнездо «Феникс»
Причал «Зенит»
Рудник «Гефест»
Ферма «Деметра»
Лаборатория «Артемида»
Храм «Афина»
База «Одиссей»
Город «Уран»
Склад «Гермес»
Шахта «Плутон»
Док «Тритон»
Платформа «Нептун»
Академия «Прометей»
Святилище «Гестия»
Арка «Янус»
Цикл «Юпитер»
Редут «Марс»
Приют «Веста»
Крепость «Сатурн»
Оракул «Фемида»
Маяк «Сириус»
Ковчег «Ноя»
Гильдия «Вулкан»
Оазис «Церера»
Ковчег «Эдем»
Улей «Афродита»
Арена «Аид»
Рынок «Меркурий»
Мост «Орион»
Шпиль «Альтаир»
Гробница «Тартар»
Предел «Фобос»
Исток «Лето»
Разлом «Хаос»
Призма «Ирида»
Завод «Циклоп»
Пульсар «Дедал»
Врата «Арго»
Сад «Персефона»
Молчание «Хирон»
Вихрь «Эол»
Печать «Пандора»
Кольцо «Титан»
Поток «Лета»
Кристалл «Атлас»
Крест «Кастор»
Чаша «Геба»
Тень «Никта»
Зеркало «Нарцисс»
Коготь «Драко»
Паутина «Арахна»
Сеть «Антей»
Жерло «Тифон»
Рой «Мойры»
Скиния «Селена»
Пламя «Геката»
Пучина «Кето»
Риф «Сцилла»
Зов «Сирена»
Сон «Морфей»
Песня «Муза»
Танец «Терпсихора»
Мгла «Эреб»
Вспышка «Нова»
Туманность «Андромеда»
Сердце «Полярис»
Глаз «Аргус»
Клык «Левиафан»
Плащ «Нибелунг»
Ключ «Энигма»
Часовой «Цербер»
Рассвет «Аврора»
Закат «Геспер»
Тропа «Млечный Путь»
Барьер «Терминус»
Обрыв «Эверест»
Водоворот «Харибда»
Эхо «Нарцисс»
Сфера «Дионис»
Код «Энигма»
Ядро «Галатея»
Луч «Аполлон»
Судно «Аркадия»
Покров «Нептун»
След «Феникс»
Рука «Орион»
Шепот «Эхо»
Каньон «Марс»
Око «Сатурн»
Венец «Солнце»
Рождение «Нова»
Смерть «Черная Дыра»
Тишина «Вакх»
Вектор «Прайм»
Храм «Туманов»

Узел «Сингулярность»

Терминал «Орион-Б»

Сектор 7-Глиттер

Крио-Хранилище №4

Орбитальный Хаб «Хром»

Объект «Альфа-Нейро»

Станция «Вакуум-9»

Блок Утилизации «Шлам»

Цитадель Протокола

Обитель Чистого Кода

Матрица «Зенит»

Выработка «Гефест-Айрон»

Гидропонный Отсек 12

Лаборатория «Ксено-Зеро»

Санктум Высших

База «Одиссей-Прайм»

Урбан-Ядро «Уран»

Складской Контур «Гермес»

Шахта Глубокого Плутония

Док «Тритон-Индустри»

Платформа «Нептун-Стазис»

Академия Пси-Синтеза

Святилище Связи

Врата «Янус-Логистик»

Цикл Переработки «Юпитер»

Редут «Марс-Страйк»

Приют «Веста-Крио»

Крепость Стальных Лордов

Оракул Сети

Маяк «Сириус-7»

Ковчег «Генезис-Код»

Кузня «Вулкан-Цех»

Оазис «Церера-Био»

Модуль «Эдем-Рай»

Улей «Афродита-Фарм»

Арена Декомпрессии

Рынок Тау-Кита

Мост «Орион-Шельф»

Шпиль Корпорации

Гробница Крио-Сна

Предел «Фобос-Грунт»

Исток «Лето-Биом»

Разлом «Хаос-Интерфейс»

Призма Распада

Завод «Циклоп-Тяжмаш»

Пульсар-Станция

Врата «Арго-Дрифт»

Сад «Персефона-Глас»

Сектор Молчания

Вихрь Антиматерии

Печать Контроля

Кольцо «Титан-Пром»

Поток Данных «Лета»

Кристалл-Хаб «Атлас»

Крест Синхронизации

Чаша Ксено-Сплава

Тень Орбиты

Зеркало Нейросети

Коготь Системы

Паутина Соединений

Сеть Био-Мониторинга

Жерло Реактора

Рой Нано-Ботов

Скиния Света

Пламя Синтеза

Пучина Вакуума

Риф Металлолома

Зов Пустоты

Сон Машины

Песня Эфира

Танец Частот

Мгла Облучения

Вспышка Новы

Андромеда-Хаб

Сердце Системы

Глаз Наблюдателя

Клык Астероида

Плащ Невидимости

Ключ Шифрования

Часовой Периметра

Рассвет Глиттер-Мира

Закат Империи

Тропа Переселенцев

Барьер «Терминус»

Обрыв Реальности

Водоворот Гравитации

Эхо-Сигнал

Сфера Дионисия

Код Энигмы

Ядро Галатеи

Луч Аполлона

Судно-Поселок «Аркадия»

Покров Нептуна

След Феникса

Рука Ориона

Шепот Космоса

Каньон Фобоса

Око Сатурна

Венец Солнца

Точка Ноль

Протокол Исход

Вектор Прайм

Храм Туманов

Опора Небосвода

Якорь Пустоты

Игла Прорыва

Стык Миров

Порог Бесконечности

Гнездо Киборгов

Стойло Дронов

Камера Радости (Глиттер-Тюрьма)

Цех Реанимации

Обитель Ритма

Заслон Свободы

Фильтр-Узел

Скважина Эфира

Промзона Гетто

Резервация Био-Брака

Вычислитель-7

Мозг Станции

Пси-Ангар

Орбитальная Плешь

Пятно Радиации

Зона Карантина

Изолятор Х

Генетический Стек

Ферма Тканей

Сборщик Изотопов

Котельная Магмы

Охладитель Луны

Вентиль Системы

Клапан Пустоты

Поршень Дирекции

Вал Передачи

Маховик Истории

Конденсатор Света

Диод-Пост

Шина Данных

Порт-Репликатор

Призма-Щит

Экран Отражения

Зона Тишины 404

Объект Наблюдения

Полигон «Гнев»

Испытание «Бета»

Модуль Страха

Комната Счастья

Сектор Наслаждений

Узел Трансляции

Арена Ржавчины

Клуб Крио-Сна

Отель «Горизонт»

Пансионат «Стазис»

Курорт «Радий»

Пляж Обломков

Пик Эвереста-2

Пропасть Хаоса

Долина Глиттера

Равнина Схем

Гора Транзисторов

Лес Антенн

Море Мазута

Река Охладителя

Водопад Плазмы

Гейзер Газа

Кратер Алмазов

Шрам Планеты

Ожог Светила

Рана Сектора

Труп Спутника

Осколок Верфи

Скелет Крейсера

Обломок Титана

Кусок Ковчега

Хлам Звезд

Пыль Миров

Грязь Орбиты

Слякоть Стыковки

Накипь Реактора

Гарь Двигателей

Копоть Космоса

Ржавчина Систем

Тлен Цифры

Распад Биоса

Плесень Программ

Вирус-Узел

Червь Сети

Код Смерти

Ошибка Выжившего

Сбой Системы

Точка Отказа

Конец Связи

Темная Зона

Глухое Место

Пустой Сектор

Дыра в Логах

След Прошлого

Тень Будущего

Блик Настоящего

Финал Протокола
